date,time,illuminance_lux,light_regime,sun_altitude_deg,sun_azimuth_deg,moon_altitude_deg,moon_azimuth_deg,phase_angle_deg,pct_darkness,moon_phase_fraction,moon_phase_name,below_threshold
2025-04-11,18:30:00,5963.6003,Daylit,1.3692,278.5794,8.9961,97.3296,11.3273,9.78,0.9903,Full Moon,False
2025-04-11,18:31:00,5064.6011,Daylit,1.1253,278.6195,9.2341,97.3784,11.3198,9.78,0.9903,Full Moon,False
2025-04-11,18:32:00,4132.1991,Daylit,0.8814,278.6596,9.4721,97.4274,11.3124,9.77,0.9903,Full Moon,False
2025-04-11,18:33:00,3155.1024,Daylit,0.6375,278.7,9.7102,97.4765,11.305,9.77,0.9903,Full Moon,False
2025-04-11,18:34:00,2111.7459,Daylit,0.3937,278.7404,9.9482,97.5258,11.2975,9.76,0.9903,Full Moon,False
2025-04-11,18:35:00,944.7214,Daylit,0.1499,278.7811,10.1861,97.5754,11.2901,9.75,0.9903,Full Moon,False
2025-04-11,18:36:00,20.1249,Civil Twilight,-0.0939,278.8219,10.4241,97.625,11.2827,9.75,0.9903,Full Moon,False
2025-04-11,18:37:00,19.2971,Civil Twilight,-0.3376,278.8629,10.6621,97.6749,11.2752,9.74,0.9903,Full Moon,False
2025-04-11,18:38:00,18.4695,Civil Twilight,-0.5814,278.904,10.9,97.725,11.2678,9.74,0.9904,Full Moon,False
2025-04-11,18:39:00,17.6419,Civil Twilight,-0.8251,278.9453,11.1379,97.7752,11.2604,9.73,0.9904,Full Moon,False
2025-04-11,18:40:00,16.8144,Civil Twilight,-1.0688,278.9867,11.3758,97.8256,11.2529,9.72,0.9904,Full Moon,False
2025-04-11,18:41:00,15.987,Civil Twilight,-1.3124,279.0284,11.6137,97.8762,11.2455,9.72,0.9904,Full Moon,False
2025-04-11,18:42:00,15.1597,Civil Twilight,-1.556,279.0701,11.8516,97.927,11.2381,9.71,0.9904,Full Moon,False
2025-04-11,18:43:00,14.3325,Civil Twilight,-1.7996,279.1121,12.0895,97.978,11.2306,9.71,0.9904,Full Moon,False
2025-04-11,18:44:00,13.5054,Civil Twilight,-2.0432,279.1542,12.3273,98.0292,11.2232,9.7,0.9904,Full Moon,False
