date,time,illuminance_lux,light_regime,sun_altitude_deg,sun_azimuth_deg,moon_altitude_deg,moon_azimuth_deg,phase_angle_deg,pct_darkness,moon_phase_fraction,moon_phase_name,below_threshold
2024-07-25,18:30:00,15714.7438,Daylit,4.3855,288.9384,-59.0812,70.7957,61.6921,54.68,0.7371,Waning Gibbous,False
2024-07-25,18:31:00,15016.3662,Daylit,4.1522,288.9728,-58.8573,70.9538,61.7014,54.68,0.737,Waning Gibbous,False
2024-07-25,18:32:00,14311.3497,Daylit,3.9189,289.0075,-58.6333,71.1098,61.7107,54.69,0.737,Waning Gibbous,False
2024-07-25,18:33:00,13599.2471,Daylit,3.6856,289.0426,-58.409,71.2638,61.72,54.7,0.7369,Waning Gibbous,False
2024-07-25,18:34:00,12879.5482,Daylit,3.4525,289.078,-58.1845,71.4158,61.7294,54.71,0.7368,Waning Gibbous,False
2024-07-25,18:35:00,12151.6664,Daylit,3.2193,289.1137,-57.9598,71.5658,61.7387,54.72,0.7367,Waning Gibbous,False
2024-07-25,18:36:00,11414.9209,Daylit,2.9862,289.1497,-57.735,71.714,61.748,54.73,0.7367,Waning Gibbous,False
2024-07-25,18:37:00,10668.5129,Daylit,2.7532,289.1861,-57.5099,71.8602,61.7573,54.74,0.7366,Waning Gibbous,False
2024-07-25,18:38:00,9911.4943,Daylit,2.5202,289.2228,-57.2847,72.0047,61.7667,54.75,0.7365,Waning Gibbous,False
2024-07-25,18:39:00,9142.7225,Daylit,2.2873,289.2598,-57.0593,72.1473,61.776,54.76,0.7365,Waning Gibbous,False
2024-07-25,18:40:00,8360.7977,Daylit,2.0544,289.2971,-56.8337,72.2881,61.7853,54.77,0.7364,Waning Gibbous,False
2024-07-25,18:41:00,7563.9685,Daylit,1.8216,289.3347,-56.6079,72.4272,61.7946,54.78,0.7363,Waning Gibbous,False
2024-07-25,18:42:00,6749.987,Daylit,1.5888,289.3727,-56.382,72.5647,61.804,54.79,0.7362,Waning Gibbous,False
2024-07-25,18:43:00,5915.8729,Daylit,1.3561,289.411,-56.1559,72.7004,61.8133,54.79,0.7362,Waning Gibbous,False
2024-07-25,18:44:00,5057.5032,Daylit,1.1234,289.4496,-55.9296,72.8345,61.8226,54.8,0.7361,Waning Gibbous,False
2024-07-25,18:45:00,4168.8331,Daylit,0.8908,289.4886,-55.7032,72.9671,61.8319,54.81,0.736,Waning Gibbous,False
2024-07-25,18:46:00,3240.2139,Daylit,0.6583,289.5279,-55.4766,73.098,61.8412,54.82,0.736,Waning Gibbous,False
2024-07-25,18:47:00,2253.9793,Daylit,0.4258,289.5675,-55.2499,73.2274,61.8506,54.83,0.7359,Waning Gibbous,False
2024-07-25,18:48:00,1167.6956,Daylit,0.1933,289.6075,-55.023,73.3553,61.8599,54.84,0.7358,Waning Gibbous,False
2024-07-25,18:49:00,20.2672,Civil Twilight,-0.0391,289.6478,-54.7959,73.4817,61.8692,54.85,0.7357,Waning Gibbous,False
2024-07-25,18:50:00,19.4773,Civil Twilight,-0.2714,289.6884,-54.5687,73.6067,61.8785,54.86,0.7357,Waning Gibbous,False
2024-07-25,18:51:00,18.6876,Civil Twilight,-0.5036,289.7294,-54.3414,73.7302,61.8879,54.87,0.7356,Waning Gibbous,False
2024-07-25,18:52:00,17.8981,Civil Twilight,-0.7358,289.7707,-54.1139,73.8523,61.8972,54.88,0.7355,Waning Gibbous,False
2024-07-25,18:53:00,17.1088,Civil Twilight,-0.968,289.8124,-53.8863,73.9731,61.9065,54.89,0.7355,Waning Gibbous,False
