frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
33625,367,255,129.0,111.0,158.0,10.238993710691824,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part02.mp4,1900-01-01 18:49:02.500,387
33625,379,275,354.0,112.0,164.0,52.8954081632653,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part02.mp4,1900-01-01 18:49:02.500,399
33625,364,311,8.5,112.0,149.0,26.73684210526316,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part02.mp4,1900-01-01 18:49:02.500,384
42516,570,30,3.5,125.0,180.0,250.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:51.600,590
42517,570,30,3.5,125.0,180.0,250.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:51.700,590
42515,570,29,1.5,134.0,173.0,248.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:51.500,590
42518,570,30,3.5,125.0,180.0,250.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:51.800,590
42520,570,29,2.0,114.0,149.0,249.14285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:52.000,590
42519,570,30,3.5,112.0,166.0,249.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:51.900,590
42548,570,31,1.5,122.0,163.0,145.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:54.800,590
42549,570,31,1.5,117.0,160.0,134.4,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:54.900,590
42555,568,11,3.0,115.0,157.0,56.14285714285714,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:55.500,588
42554,568,11,2.5,128.0,164.0,178.33333333333331,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:55.400,588
42554,570,31,1.5,117.0,143.0,54.8,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:55.400,590
42551,570,31,1.5,116.0,141.0,68.8,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:03:55.100,590
42966,543,29,10.0,114.0,176.0,226.58823529411765,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.600,563
42962,543,29,7.5,119.0,178.0,233.64285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.200,563
42961,543,29,7.5,121.0,178.0,239.42857142857144,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.100,563
42959,543,29,3.5,112.0,151.0,129.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:35.900,563
42963,543,29,7.5,119.0,178.0,233.64285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.300,563
42964,543,29,7.5,119.0,178.0,233.64285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.400,563
42960,543,28,2.5,122.0,174.0,213.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.000,563
42965,543,29,10.0,114.0,176.0,226.58823529411765,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.500,563
42973,542,30,3.5,118.0,179.0,251.1111111111111,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.300,562
42971,542,29,4.0,120.0,177.0,252.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.100,562
42970,542,30,2.5,135.0,177.0,250.375,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.000,562
42969,542,29,5.0,114.0,176.0,248.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.900,562
42968,542,30,6.5,128.0,179.0,230.46153846153848,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.800,562
42972,542,30,3.5,118.0,179.0,251.1111111111111,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.200,562
42967,542,30,7.5,128.0,177.0,215.85714285714283,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:36.700,562
42975,542,29,2.0,122.0,177.0,250.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.500,562
42978,542,29,2.0,123.0,176.0,225.8333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.800,562
42979,542,29,1.5,134.0,177.0,220.6,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.900,562
42976,542,29,2.0,122.0,177.0,250.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.600,562
42977,542,29,2.0,123.0,176.0,225.8333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.700,562
43234,512,25,4.0,117.0,178.0,252.7,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.400,532
43235,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.500,532
43233,512,25,4.0,117.0,177.0,240.8,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.300,532
43238,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.800,532
43237,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.700,532
43236,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.600,532
43239,512,26,6.5,123.0,177.0,233.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.900,532
43242,512,25,5.5,112.0,175.0,238.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.200,532
43240,512,26,6.5,123.0,177.0,233.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.000,532
43241,512,25,6.5,119.0,174.0,232.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.100,532
43243,512,25,5.5,112.0,171.0,233.23076923076923,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.300,532
43246,512,25,4.0,122.0,169.0,239.9090909090909,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.600,532
43244,512,25,5.5,112.0,174.0,227.92307692307693,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.400,532
43245,512,25,4.0,117.0,172.0,241.27272727272728,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.500,532
