frame	cX	cY	area	minI	maxI	meanI	video
1329	178	2	1.5	122.0	148.0	76.375	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	3	3	11.5	116.0	152.0	152.7142857142857	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	35	5	5.5	112.0	125.0	93.91666666666666	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	497	4	321.5	19.0	255.0	190.73913043478262	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	523	2	2.0	93.0	163.0	112.0	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	504	4	5.5	19.0	244.0	186.0	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	506	5	2.0	58.0	189.0	144.4	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	88	4	390.0	80.0	191.0	111.59183673469389	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	133	2	2.0	102.0	171.0	117.2	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	112	4	5.5	107.0	163.0	96.7	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	108	4	7.0	105.0	158.0	101.41666666666666	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	68	4	2.0	103.0	122.0	102.4	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	80	6	4.0	110.0	136.0	105.625	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	63	6	13.0	102.0	142.0	120.10000000000001	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	50	5	13.0	80.0	138.0	108.10000000000001	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	4	8	2.0	111.0	115.0	74.16666666666666	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	1237	12	2.5	112.0	119.0	14.75	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
1329	1273	14	44.0	111.0	190.0	76.66666666666667	D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part01.mp4
